Choix 1 TD (nom groupe)	Choix 1 TD (id groupe)	Choix 2 TD (nom groupe)	Choix 2 TD (id groupe)	Choix 3 TD (nom groupe)	Choix 3 TD (id groupe)	Choix 4 TD (nom groupe)	Choix 4 TD (id groupe)	Affectation	ch1 no aff	hash
Lu10301	503	Ma10301	510	Lu18001	507	Ma18001	515	503		0,893002435261515
Ma10301	510	Ve10301	533	Je18001	531	Ma18001	515	531		0,842567755482365
Lu15301	505	Ma18001	515	Lu10301	503	Me13001	520	515		0,908298201381644
Ma10301	510	Lu10301	503	Ma18001	515	Lu18001	507	515		0,182635050188346
Je18001	531	Ma18001	515	Je13001	528	Me13001	520	531		0,847446037848559
Lu18001	507	Ma18001	515	Ve10301	533	Me08151	516	507		-0,869966103134334
Ma08151	508	Ma18001	515	Je18001	531	Ve15301	886	508		0,993134080058151
Lu18001	507	Lu08151	502	Me10301	518	Ma18001	515	507		-0,217411791365668
Ma18001	515	Lu13001	504	Lu15301	505	Ma15301	514	515		0,849627108918063
Ma08151	508	Je08151	524	Ma18001	515	Je18001	531	508		-0,999121282560668
Lu10301	503	Ma10301	510	Lu18001	507	Ma18001	515	503		-0,882784218264705
Lu08151	502	Ma18001	515	Me13001	520	Lu15301	505	502		0,377391041740037
Ma10301	510	Ma08151	508	Me08151	516	Ma18001	515	508		0,802529622526561
Lu18001	507	Ma18001	515	Me18001	825	Je18001	531	507		-0,549443226123293
Lu18001	507	Ma18001	515	Me18001	825	Je18001	531	507		0,989699548176814
Ma13001	512	Ma10301	510	Ma18001	515	Je10301	526	515		-0,830610830364098
Ma10301	510	Ma18001	515	Ma13001	512	Je18001	531	510		0,870118707994616
Lu18001	507	Ma18001	515	Je18001	531	Me18001	825	507		0,212709182963489
Lu08151	502	Je08151	524	Ve08151	532	Ma18001	515	502		-0,285753460850771
Ve15301	886	Ma18001	515	Me13001	520	Me15301	522	886		-0,992067315491863
Me15301	522	Me18001	825	Ma18001	515	Ve13001	535	522		0,799789489900668
Ma10301	510	Je08151	524	Ma18001	515	Me18001	825	524		0,948995583765514
Ma10301	510	Je08151	524	Ma18001	515	Me18001	825	524		-0,377530613947197
Je10301	526	Lu08151	502	Ma18001	515	Me10301	518	502		-0,842746299198615
Lu18001	507	Ma10301	510	Ma18001	515	Me13001	520	507		-0,51971219829921
Lu15301	505	Lu18001	507	Ma18001	515	Me18001	825	505		-0,944701787475029
Lu15301	505	Lu18001	507	Ma18001	515	Me18001	825	505		-0,749443636649624
Je15301	529	Ma18001	515	Je18001	531	Lu15301	505	529		0,00203313929976
Je08151	524	Lu13001	504	Ma18001	515	Me18001	825	524		-0,020005954858575
Me18001	825	Ma18001	515	Je18001	531	Me13001	520	825		0,098207240248391
Me18001	825	Ma18001	515	Je18001	531	Lu15301	505	825		0,890464899915095
Ma18001	515	Je08151	524	Je18001	531	Lu15301	505	515		0,997660344940408
Lu18001	507	Ma18001	515	Je15301	529	Je18001	531	507		0,984831733861907
Ma10301	510	Ma18001	515	Je13001	528	Lu08151	502	515		0,99821380268283
Lu13001	504	Me13001	520	Ma18001	515	Me08151	516	504		0,425962670778888
Ve10301	533	Lu10301	503	Ma18001	515	Me18001	825	515		0,9962678459293
Je15301	529	Ma18001	515	Je13001	528	Je10301	526	529		-0,410017747922635
Lu15301	505	Je10301	526	Ma18001	515	Me10301	518	505		0,716548994807675
Me08151	516	Ma08151	508	Ma10301	510	Ma18001	515	516		-0,081605118580432
Lu15301	505	Ma10301	510	Ma18001	515	Me15301	522	505		-0,752387783640602
Lu15301	505	Ma10301	510	Ma18001	515	Ve15301	886	505		0,707052677326157
Je18001	531	Je08151	524	Ma18001	515	Lu10301	503	531		-0,76982400212715
Ma10301	510	Ma13001	512	Ma15301	514	Ma18001	515	515		-0,621373341207673
Ma10301	510	Ma18001	515	Ma08151	508	Me13001	520	515		-0,208675247510027
Ma08151	508	Ma18001	515	Lu18001	507	Ma10301	510	508		-0,678400232546597
Me10301	518	Lu18001	507	Ma10301	510	Ma18001	515	515		0,955679183183747
Lu10301	503	Lu08151	502	Ma18001	515	Lu18001	507	503		0,103545861913547
Lu10301	503	Ve08151	532	Lu18001	507	Ma18001	515	503		0,607573871504729
Me13001	520	Ma10301	510	Me15301	522	Ma18001	515	520		0,995898140117407
Ve10301	533	Ma18001	515	Me18001	825	Lu10301	503	515		0,661930865489711
Me13001	520	Ma18001	515	Ve08151	532	Ve10301	533	515		-0,990936032753481
Lu18001	507	Me10301	518	Ma13001	512	Ma18001	515	507		-0,438291474571983
Ma15301	514	Ma18001	515	Ma13001	512	Ma10301	510	515		-0,356838385056739
Je10301	526	Lu10301	503	Ma18001	515	Je18001	531	531		0,688136841310308
Je15301	529	Ve15301	886	Ma18001	515	Ve13001	535	529		0,991547952035369
Ma10301	510	Ma15301	514	Ma13001	512	Ma18001	515	514		-0,050650834363646
Ma15301	514	Ma18001	515	Ve13001	535	Ve15301	886	515		-0,50455932918285
Ma15301	514	Ma18001	515	Lu15301	505	Ve13001	535	515		-0,508195695719789
Me15301	522	Je13001	528	Je15301	529	Ma18001	515	522		-0,055505026883617
Ma13001	512	Je13001	528	Ma18001	515	Je10301	526	515		0,496583599639496
Ma15301	514	Ma10301	510	Ma18001	515	Me13001	520	515		-0,891126077314804
Je10301	526	Ma10301	510	Lu18001	507	Ma18001	515	526		-0,851985601563765
Ma15301	514	Ma18001	515	Je13001	528	Je15301	529	515		-0,134575823908855
Ma13001	512	Ma10301	510	Ma18001	515	Ma08151	508	515		0,960852764743012
Je10301	526	Je18001	531	Ma18001	515	Me10301	518	531		0,99993779965493
Ma18001	515	Me13001	520	Me10301	518	Ma10301	510	515		-0,927516579254263
Me08151	516	Je08151	524	Ma18001	515	Je10301	526	516		-0,904688389523619
Ma13001	512	Ma15301	514	Ma18001	515	Me18001	825	515		0,418074766488541
Je13001	528	Ve13001	535	Ma18001	515	Ve15301	886	535		-0,769631568942679
Lu15301	505	Ma18001	515	Ma10301	510	Je13001	528	515		-0,746587938483602
Me18001	825	Ma18001	515	Je18001	531	Ve15301	886	825		0,734469109390771
Ve10301	533	Lu10301	503	Ma18001	515	Lu08151	502	515		0,469381516370399
Lu10301	503	Ma08151	508	Ma18001	515	Me15301	522	503		0,53843989980131
Lu10301	503	Me18001	825	Lu18001	507	Ma18001	515	503		-0,655315845132798
Lu13001	504	Ma15301	514	Lu18001	507	Ma18001	515	504		-0,277191520172835
Je10301	526	Je13001	528	Ma18001	515	Me10301	518	515		-0,937215259570712
Ma18001	515	Je13001	528	Ve15301	886	Ve13001	535	515		0,828156417164032
Je13001	528	Ma15301	514	Ma18001	515	Lu18001	507	515		-0,037701202355753
Je15301	529	Je18001	531	Me18001	825	Ma18001	515	529		0,999976533842861
Ma15301	514	Ma18001	515	Ve10301	533	Je13001	528	515		-0,055444831016656
Je10301	526	Je13001	528	Me08151	516	Ma18001	515	526		-0,256139074917628
Me15301	522	Je13001	528	Ma18001	515	Ma15301	514	522		-0,958293894923733
Ma18001	515	Ve15301	886	Ve10301	533	Ma13001	512	515		0,791879505679027
Ma10301	510	Ma15301	514	Lu10301	503	Ma18001	515	514		0,786387330301634
Lu18001	507	Ma18001	515	Ve15301	886	Je08151	524	507		-0,086152152002411
Lu18001	507	Ma18001	515	Me13001	520	Ve08151	532	507		0,578930062104001
Ma15301	514	Lu18001	507	Ma18001	515	Ve13001	535	515		0,719376246908443
Me15301	522	Je10301	526	Ma18001	515	Me18001	825	522		-0,661817882226511
Je13001	528	Ma13001	512	Ma15301	514	Ma18001	515	515		-0,898886750530007
Je13001	528	Ma13001	512	Ma15301	514	Ma18001	515	515		-0,950396276769813
Je13001	528	Lu15301	505	Me15301	522	Ma18001	515	515		-0,028764313427049
Me15301	522	Lu15301	505	Je13001	528	Ma18001	515	522		0,477576111862317
Me13001	520	Ma15301	514	Ve13001	535	Je10301	526	535		-0,889094313398173
Je15301	529	Me15301	522	Ma15301	514	Lu18001	507	529		0,987692404322109
Ma13001	512	Ma15301	514	Me18001	825	Je18001	531	531		-0,059559975430823
Ma15301	514	Me15301	522	Lu18001	507	Ve15301	886	514		0,927692637697475
Ve15301	886	Lu15301	505	Ma15301	514	Je15301	529	886		-0,977109629907241
Ma15301	514	Ma13001	512	Ve15301	886	Me15301	522	886		0,755234933096043
Ma10301	510	Me15301	522	Ma15301	514	Ma08151	508	522		-0,947538493698988
Lu13001	504	Lu15301	505	Ma13001	512	Ma15301	514	504		-0,9806280084742
Lu08151	502	Ma08151	508	Ma13001	512	Ma15301	514	502		-0,073170965680614
Me10301	518	Ve08151	532	Ma15301	514	Me13001	520	532		0,82053716239792
Lu10301	503	Lu08151	502	Ma15301	514	Ve15301	886	503		-0,94893506821408
Ma13001	512	Ma08151	508	Ma15301	514	Lu10301	503	508		0,430318457110549
Ma15301	514	Lu10301	503	Ma13001	512	Lu13001	504	514		-0,786443190637899
Ma08151	508	Ma15301	514	Lu18001	507	Me13001	520	508		-0,943201926298805
Lu18001	507	Me13001	520	Ma15301	514	Me15301	522	507		-0,797108184257833
Ma10301	510	Ma15301	514	Je10301	526	Ma13001	512	514		0,719459997237297
Ma15301	514	Me08151	516	Ma08151	508	Me15301	522	514		-0,989014240523819
Ma10301	510	Ve10301	533	Ma15301	514	Lu15301	505	533		-0,243221954801055
Je08151	524	Lu13001	504	Ma15301	514	Me13001	520	524		0,655384151515209
Ma13001	512	Je13001	528	Ma15301	514	Je15301	529	528		0,989656348535353
Ma15301	514	Ma13001	512	Je08151	524	Ve08151	532	524		-0,516031309500855
Ma15301	514	Me15301	522	Ve08151	532	Je18001	531	514		0,825445273767887
Ma10301	510	Ma15301	514	Je13001	528	Ve10301	533	514		0,986244387980142
Je08151	524	Ma08151	508	Ma15301	514	Me15301	522	524		0,840289033224857
Ma10301	510	Je10301	526	Ma15301	514	Lu15301	505	526		-0,886921717643188
Ve10301	533	Ma15301	514	Je18001	531	Lu15301	505	531		-0,099096198227366
Lu13001	504	Ma15301	514	Je13001	528	Je10301	526	504		-0,112982599960608
Lu13001	504	Je08151	524	Lu10301	503	Ma15301	514	504		0,896937672960451
Me15301	522	Ma15301	514	Je15301	529	Me08151	516	522		-0,783606843022206
Me18001	825	Me13001	520	Ma15301	514	Ma13001	512	825		-0,807850057067861
Ma15301	514	Lu10301	503	Ma10301	510	Me18001	825	514		-0,812807048045988
Ma10301	510	Ma15301	514	Je10301	526	Ma13001	512	514		-0,496976023323262
Ma13001	512	Lu13001	504	Je13001	528	Ma15301	514	504		-0,357045784954628
Me10301	518	Me18001	825	Me15301	522	Ma15301	514	825		-0,596831823645453
Ma15301	514	Lu10301	503	Me08151	516	Ma08151	508	514		0,121435626925496
Ve08151	532	Ve13001	535	Me13001	520	Ma15301	514	532		-0,971109566082072
Lu13001	504	Ma10301	510	Ma15301	514	Ve08151	532	504		0,610870138314703
Ma15301	514	Je15301	529	Je13001	528	Je10301	526	529		0,996672303637468
Me13001	520	Ma15301	514	Je15301	529	Ve08151	532	520		-0,800492906257325
Me10301	518	Ve13001	535	Ma08151	508	Ma15301	514	535		0,85206450456047
Ma10301	510	Ma15301	514	Me10301	518	Lu08151	502	510		0,81793138726814
Ma15301	514	Ma10301	510	Je10301	526	Je15301	529	514		-0,788982487712723
Me10301	518	Ma13001	512	Ve08151	532	Ma15301	514	532		-0,549427242868689
Je13001	528	Ma13001	512	Ma15301	514	Ve08151	532	528		-0,858793161643852
Ma15301	514	Lu13001	504	Me13001	520	Me15301	522	514		-0,610559830645184
Ve10301	533	Je15301	529	Ma15301	514	Je18001	531	529		0,442344187510258
Ma15301	514	Me13001	520	Ma10301	510	Je13001	528	514		-0,725703796666172
Ma15301	514	Je15301	529	Lu15301	505	Me10301	518	529		-0,700980695267601
Me13001	520	Lu13001	504	Ma15301	514	Je18001	531	520		0,755195415238066
Ma15301	514	Ma10301	510	Me10301	518	Me15301	522	514		0,624774643564278
Ve08151	532	Me13001	520	Ma15301	514	Lu15301	505	532		0,385712111476256
Ma13001	512	Ma15301	514	Je13001	528	Je15301	529	512		0,977060644919726
Je10301	526	Me08151	516	Je08151	524	Ma15301	514	516		0,204376698471964
Ma15301	514	Me10301	518	Lu10301	503	Ve15301	886	514		-0,825462289342311
Lu13001	504	Ma15301	514	Ma08151	508	Je18001	531	504		-0,315301999331262
Lu10301	503	Lu13001	504	Ma13001	512	Ma15301	514	503		-0,134516083385939
Me13001	520	Lu13001	504	Ma15301	514	Je18001	531	520		-0,48888130846496
Je10301	526	Ma15301	514	Me10301	518	Lu15301	505	526		0,523284639462093
Me13001	520	Ma15301	514	Lu08151	502	Lu18001	507	520		-0,4498344108687
Lu13001	504	Ma10301	510	Ma15301	514	Lu18001	507	504		0,992078679572848
Ma10301	510	Me13001	520	Ma15301	514	Me15301	522	520		0,906591618929058
Me13001	520	Ma15301	514	Ve08151	532	Me15301	522	520		0,434361451540761
Je13001	528	Ve13001	535	Ma15301	514	Lu13001	504	535		-0,734612293633595
Lu10301	503	Lu15301	505	Ma15301	514	Ma10301	510	503		0,024277593578973
Ma10301	510	Lu15301	505	Lu13001	504	Ma15301	514	510		-0,896951001089722
Je13001	528	Ma15301	514	Lu15301	505	Ve10301	533	528		-0,251477019326314
Ma15301	514	Ma08151	508	Me08151	516	Lu18001	507	514		-0,830409344217436
Me10301	518	Ma15301	514	Ma10301	510	Ma13001	512	518		0,556901509688616
Ma15301	514	Me15301	522	Je08151	524	Ve08151	532	524		0,596759260759893
Ma15301	514	Je10301	526	Me13001	520	Je08151	524	514		0,099205220746579
Lu10301	503	Ma08151	508	Ma15301	514	Ve15301	886	503		0,993614640179385
Je08151	524	Je13001	528	Ma15301	514	Lu08151	502	524		0,508325497806167
Me10301	518	Lu08151	502	Je18001	531	Ma15301	514	502		0,523592858226865
Lu15301	505	Ma15301	514	Ma08151	508	Lu08151	502	505		-0,760967862285106
Ve13001	535	Ma13001	512	Ma15301	514	Lu15301	505	535		0,209018230848891
Ma15301	514	Je13001	528	Ma10301	510	Je10301	526	514		0,946105559622267
Je10301	526	Ma15301	514	Ve10301	533	Ve08151	532	526		0,930949880591091
Ma10301	510	Ma15301	514	Me13001	520	Je15301	529	510		-0,298626237916265
Ma13001	512	Ma15301	514	Ma10301	510	Me10301	518	512		0,56445536974727
Lu13001	504	Je10301	526	Lu10301	503	Ma15301	514	504		-0,323775027205241
Ma15301	514	Ma13001	512	Je10301	526	Je13001	528	514		0,719418123380315
Ve15301	886	Je18001	531	Ve13001	535	Ma15301	514	886		0,898891577047159
Lu10301	503	Ma10301	510	Ma15301	514	Me18001	825	503		0,997932027478833
Lu10301	503	Lu15301	505	Je08151	524	Ma15301	514	503		-0,960749424827181
Je18001	531	Ma10301	510	Ma13001	512	Ma15301	514	531		-0,204170137392495
Je13001	528	Je08151	524	Me13001	520	Ma15301	514	524		0,938696806751171
Ma15301	514	Je10301	526	Me10301	518	Ve08151	532	514		-0,906477094857662
Ma15301	514	Lu15301	505	Je08151	524	Lu10301	503	524		0,05946970267051
Ma10301	510	Me10301	518	Ma15301	514	Me15301	522	510		-0,116894091127331
Ma15301	514	Lu15301	505	Je08151	524	Lu10301	503	524		0,02003609316978
Je08151	524	Ma15301	514	Ma13001	512	Ma10301	510	524		-0,099655145356512
Ma15301	514	Ma08151	508	Lu10301	503	Lu08151	502	514		-0,17831392604761
Ma15301	514	Ma13001	512	Ma10301	510	Ma08151	508	514		-0,195881579158988
Me10301	518	Lu10301	503	Ma10301	510	Ma15301	514	518		0,775290956709609
Ma13001	512	Je13001	528	Je10301	526	Ma15301	514	512		0,556751277062845
Lu08151	502	Je08151	524	Lu10301	503	Ma15301	514	502		-0,925893776235699
Je13001	528	Me13001	520	Ma15301	514	Ve08151	532	528		-0,230002015900933
Ma15301	514	Je15301	529	Ma13001	512	Lu15301	505	529		-0,046635076836168
Me13001	520	Je08151	524	Ma15301	514	Me15301	522	524		0,994138327473845
Ma15301	514	Ma13001	512	Me08151	516	Me10301	518	514		0,934199221684172
Lu15301	505	Ma15301	514	Me13001	520	Me08151	516	505		-0,972160121075909
Me10301	518	Me08151	516	Ma15301	514	Je10301	526	516		0,959600858992375
Lu13001	504	Ma15301	514	Je10301	526	Me08151	516	504		0,648696063376271
Me13001	520	Me15301	522	Ma15301	514	Ve10301	533	520		-0,332147258991503
Ma15301	514	Lu08151	502	Me10301	518	Me13001	520	502		0,556951583182411
Lu10301	503	Lu13001	504	Lu08151	502	Ma15301	514	503		-0,678134426190458
Me13001	520	Me15301	522	Ma15301	514	Lu15301	505	520		-0,264579413679881
Ma13001	512	Ma15301	514	Je13001	528	Je10301	526	512		0,485202292792833
Ma15301	514	Ma13001	512	Lu15301	505	Lu08151	502	514		-0,037320608825312
Je18001	531	Ma15301	514	Je13001	528	Ma08151	508	531		0,842697614646455
Ve13001	535	Ve15301	886	Ma15301	514	Ma10301	510	535		0,979799296714805
Je13001	528	Me13001	520	Ma13001	512	Ma15301	514	528		0,996646121667451
Me10301	518	Me08151	516	Me13001	520	Ma15301	514	516		0,409990253748567
Je13001	528	Me13001	520	Ma13001	512	Ma15301	514	528		-0,99957932255614
Je10301	526	Ma08151	508	Je13001	528	Ma15301	514	508		-0,874388420033803
Ma15301	514	Me15301	522	Je10301	526	Lu10301	503	514		0,97416451307605
Ma10301	510	Lu18001	507	Ma13001	512	Ma15301	514	510		-0,357007338223635
Me13001	520	Je08151	524	Me15301	522	Ma15301	514	524		-0,994143653522134
Ma15301	514	Me13001	520	Me10301	518	Me15301	522	514		0,165161646422932
Ma15301	514	Me15301	522	Je18001	531	Ve08151	532	531		0,624648350482832
Ma13001	512	Ma15301	514	Lu18001	507	Je13001	528	512		0,972162702028507
Lu18001	507	Ma15301	514	Me15301	522	Ve15301	886	507		-0,086193158269484
Ve10301	533	Ve08151	532	Lu15301	505	Ma15301	514	532		-0,989055932871181
Je10301	526	Ma15301	514	Ma08151	508	Me13001	520	526		0,560848409685966
Je10301	526	Ma13001	512	Ma15301	514	Je15301	529	526		0,725475621898673
Ma15301	514	Ma13001	512	Me15301	522	Ma10301	510	514		-0,913883226402307
Ma15301	514	Me10301	518	Je15301	529	Lu18001	507	514		0,545599630220178
Ma13001	512	Ma15301	514	Ma10301	510	Me10301	518	512		0,307004588275312
Ve13001	535	Me08151	516	Ma13001	512	Ma15301	514	535		-0,393697136567168
Lu10301	503	Je18001	531	Je13001	528	Ma15301	514	503		0,830594044002699
Ve08151	532	Ma15301	514	Lu08151	502	Ma13001	512	532		0,534677832590195
Je10301	526	Je18001	531	Ma15301	514	Me13001	520	531		-0,988372390920222
Ma15301	514	Me13001	520	Je10301	526	Ve10301	533	514		-0,519660690216512
Ma15301	514	Me08151	516	Me13001	520	Lu13001	504	514		-0,535008949187561
Ma15301	514	Je13001	528	Ve13001	535	Me10301	518	514		0,802385723262574
Je18001	531	Lu10301	503	Ma15301	514	Ve08151	532	531		-0,812620262007184
Lu13001	504	Ma15301	514	Ve13001	535	Lu15301	505	504		0,755313960576632
Me13001	520	Ma15301	514	Ve10301	533	Me10301	518	520		0,116804277563525
Ma15301	514	Ma10301	510	Lu10301	503	Ma13001	512	514		-0,725786749527198
Je10301	526	Ma15301	514	Lu08151	502	Ma08151	508	526		0,631465803196771
Lu13001	504	Lu08151	502	Ma15301	514	Lu15301	505	504		-0,658586083199372
Ma15301	514	Ma13001	512	Ma10301	510	Lu15301	505	514		-0,847494043625728
Lu10301	503	Lu13001	504	Ma15301	514	Lu15301	505	503		0,963226977626663
Je13001	528	Ma15301	514	Lu13001	504	Je15301	529	528		0,763872151499041
Ma10301	510	Ma13001	512	Ma15301	514	Me10301	518	510		-0,835358069439829
Me15301	522	Je15301	529	Ma15301	514	Lu13001	504	522		0,294224504581306
Me15301	522	Je15301	529	Ma15301	514	Lu13001	504	522		0,904598463340546
Lu13001	504	Ma15301	514	Ve15301	886	Je13001	528	504		0,849849600303537
Ma13001	512	Ma15301	514	Je13001	528	Lu18001	507	512		-0,617711838763339
Ma13001	512	Ma15301	514	Je13001	528	Lu18001	507	512		-0,373374939855104
Lu10301	503	Ma15301	514	Lu13001	504	Me13001	520	503		0,496704858700382
Je08151	524	Ma15301	514	Je15301	529	Ma13001	512	524		-0,971023180918833
Me15301	522	Ma15301	514	Ma13001	512	Me18001	825	522		-0,935651162120281
Lu15301	505	Ma15301	514	Je18001	531	Lu10301	503	505		0,112794827553891
Ma13001	512	Me13001	520	Lu18001	507	Ma15301	514	512		-0,418156915312018
Ma08151	508	Me08151	516	Je13001	528	Ma15301	514	508		0,940299984574549
Ma08151	508	Me08151	516	Je15301	529	Ma15301	514	508		0,199911226099211
Me13001	520	Lu08151	502	Lu15301	505	Ma15301	514	502		-0,050631729572581
Ma08151	508	Me08151	516	Je13001	528	Ma15301	514	508		-0,174003665646852
Lu15301	505	Lu18001	507	Ma15301	514	Lu08151	502	505		0,799656192598765
Ma15301	514	Je10301	526	Ve10301	533	Ve08151	532	514		0,589301405672157
Je10301	526	Ve08151	532	Je18001	531	Ma15301	514	532		-0,861242793426668
Ma10301	510	Ma13001	512	Ma15301	514	Ve15301	886	886		-0,610544680670852
Je13001	528	Je15301	529	Ma15301	514	Me15301	522	529		-0,323585798210926
Je13001	528	Je15301	529	Ma15301	514	Me15301	522	529		0,995067223107225
Je10301	526	Ma15301	514	Je13001	528	Je18001	531	526		0,884811465741931
Me13001	520	Lu10301	503	Ma15301	514	Ve13001	535	520		0,571467613761041
Me15301	522	Me18001	825	Ma15301	514	Lu18001	507	522		0,187016395957473
Me13001	520	Ma15301	514	Ma10301	510	Me10301	518	520		0,95833695799158
Ve13001	535	Ve15301	886	Ma15301	514	Ve08151	532	535		0,393724846290024
Ma15301	514	Ma10301	510	Me13001	520	Je13001	528	514		0,72586211530782
Je10301	526	Ma15301	514	Lu10301	503	Ma10301	510	526		-0,845151444780283
Ma15301	514	Je08151	524	Lu08151	502	Je18001	531	524		-0,886866014105726
Lu10301	503	Ma15301	514	Lu08151	502	Ve13001	535	503		0,020156646232262
Lu13001	504	Ma15301	514	Ma13001	512	Me13001	520	504		-0,997025439686307
Me08151	516	Lu10301	503	Ma15301	514	Me15301	522	516		-0,960844412527099
Ma15301	514	Me15301	522	Lu18001	507	Ve15301	886	514		0,863315016633191
Me10301	518	Ma15301	514	Ma13001	512	Ma10301	510	518		-0,496714418818962
Ve10301	533	Ma15301	514	Lu10301	503	Je08151	524	533		-0,173747346226538
Me18001	825	Me15301	522	Ma15301	514	Lu10301	503	825		-0,028824577135296
Me18001	825	Me15301	522	Ma15301	514	Lu10301	503	825		-0,377474786093321
Ma15301	514	Ma10301	510	Me15301	522	Ve10301	533	514		0,143341343663406
Me10301	518	Ma15301	514	Ma08151	508	Je10301	526	518		0,796932779298397
Ma10301	510	Ma13001	512	Ma15301	514	Je18001	531	531		0,982387457011645
Ma13001	512	Je13001	528	Je10301	526	Ma15301	514	512		-0,910216549399411
Je10301	526	Je15301	529	Ma15301	514	Lu08151	502	529		0,906617059661159
Ma15301	514	Me10301	518	Me08151	516	Lu15301	505	514		0,856804151877713
Ma10301	510	Ma15301	514	Ma08151	508	Me08151	516	510		0,019975816529191
